0 1 2
0 2 3
0 3 0
0 4 -2147483648
0 5 0
0 6 -2147483648
0 7 -2147483648
0 8 -2147483648
0 9 0
1 0 2
1 2 2
1 3 -2147483648
1 4 -2147483648
1 5 0
1 6 -2147483648
1 7 -2147483648
1 8 -2147483648
1 9 -2147483648
2 0 3
2 1 2
2 3 0
2 4 -2147483648
2 5 -2147483648
2 6 -2147483648
2 7 -2147483648
2 8 -2147483648
2 9 0
3 0 0
3 1 -2147483648
3 2 0
3 4 -2147483648
3 5 0
3 6 -2147483648
3 7 0
3 8 1
3 9 -2147483648
4 0 -2147483648
4 1 -2147483648
4 2 -2147483648
4 3 -2147483648
4 5 0
4 6 -2147483648
4 7 -2147483648
4 8 -2147483648
4 9 -2147483648
5 0 0
5 1 0
5 2 -2147483648
5 3 0
5 4 0
5 6 0
5 7 0
5 8 0
5 9 0
6 0 -2147483648
6 1 -2147483648
6 2 -2147483648
6 3 -2147483648
6 4 -2147483648
6 5 0
6 7 2
6 8 -2147483648
6 9 -2147483648
7 0 -2147483648
7 1 -2147483648
7 2 -2147483648
7 3 0
7 4 -2147483648
7 5 0
7 6 2
7 8 -2147483648
7 9 0
8 0 -2147483648
8 1 -2147483648
8 2 -2147483648
8 3 1
8 4 -2147483648
8 5 0
8 6 -2147483648
8 7 -2147483648
8 9 0
9 0 0
9 1 -2147483648
9 2 0
9 3 -2147483648
9 4 -2147483648
9 5 0
9 6 -2147483648
9 7 0
9 8 0
